RBD;IVE BÁSICA 2021;IVE MEDIA 2021
7044;93%;97%
7049;96%;94%
7085;92%;100%
7102;NO;97%
7128;89%;93%
7129;90%;92%
7135;97%;99%
7181;68%;79%
7183;92%;93%
7200;NO;93%
7236;NO;94%
7240;98%;98%
7276;77%;83%
7299;91%;93%
7325;88%;90%
7326;NO;95%
7328;NO;98%
7329;NO;93%
7331;NO;95%
7388;84%;84%
7401;76%;74%
7441;99%;100%
7470;NO;98%
7505;NO;98%
7536;83%;85%
7542;NO;100%
7544;96%;96%
7572;91%;93%
7578;NO;95%
7614;98%;100%
7625;NO;95%
7626;NO;94%
7627;89%;85%
7628;95%;89%
7629;NO;95%
7639;87%;87%
7650;87%;86%
7651;94%;95%
7699;82%;85%
7701;65%;74%
7705;NO;89%
7706;60%;66%
7707;55%;66%
7709;79%;85%
7720;NO;94%
7722;93%;93%
7724;90%;90%
7743;84%;87%
7744;74%;78%
7753;91%;94%
7760;88%;95%
7772;NO;96%
7773;86%;84%
7775;84%;81%
7776;92%;92%
7826;80%;84%
7830;NO;96%
7872;97%;97%
7907;81%;86%
7941;NO;95%
7942;88%;90%
7956;NO;95%
7973;NO;91%
7989;83%;82%
8001;NO;93%
8002;78%;80%
8005;93%;100%
8044;NO;97%
8105;85%;86%
8108;94%;96%
8109;NO;92%
8111;NO;90%
8162;92%;91%
8174;86%;91%
8194;69%;86%
8206;90%;92%
8255;NO;88%
8309;83%;92%
8310;90%;92%
8331;82%;87%
8339;84%;95%
8345;98%;93%
8352;94%;96%
8365;70%;70%
8367;66%;76%
8369;NO;96%
8375;97%;96%
8380;96%;94%
8391;93%;91%
8392;86%;87%
8394;91%;90%
8403;88%;90%
8409;83%;100%
8411;NO;93%
8421;82%;83%
8422;72%;80%
8424;86%;90%
8425;NO;91%
8427;NO;93%
8429;NO;87%
8430;NO;88%
8442;82%;81%
8454;83%;82%
8455;70%;74%
8457;84%;88%
8458;89%;85%
8474;NO;79%
8483;64%;77%
8485;76%;76%
8487;82%;80%
8488;57%;83%
