RBD;IVE BÁSICA 2021;IVE MEDIA 2021
4860;93%;NO
4861;75%;NO
4866;69%;NO
4867;90%;NO
4869;93%;NO
4873;90%;NO
4875;100%;NO
4877;100%;NO
4879;100%;NO
4882;89%;NO
4886;100%;NO
4889;100%;NO
4890;89%;NO
4896;88%;NO
4898;93%;NO
4901;100%;NO
4902;95%;NO
4904;100%;NO
4906;83%;NO
4907;100%;NO
4908;99%;NO
4909;92%;NO
4910;100%;NO
4913;100%;NO
4915;100%;NO
4917;75%;NO
4918;100%;NO
4920;100%;NO
4923;100%;NO
4926;95%;NO
4927;100%;NO
4929;100%;NO
4932;100%;NO
4933;100%;NO
4935;100%;NO
4940;100%;NO
4941;100%;NO
4942;100%;NO
4943;96%;NO
4946;100%;NO
4947;93%;NO
4953;97%;NO
4954;95%;NO
4955;97%;NO
4956;97%;NO
4960;94%;NO
4961;91%;NO
4967;90%;NO
4968;99%;NO
4974;96%;NO
4985;97%;NO
4986;100%;NO
4987;96%;NO
4988;95%;NO
4989;96%;NO
4990;97%;NO
4991;90%;NO
4992;93%;NO
4994;94%;NO
4995;95%;NO
4996;97%;NO
4997;94%;NO
4998;90%;NO
4999;89%;NO
5001;93%;NO
5003;99%;NO
5005;83%;NO
5006;95%;NO
5009;85%;NO
5010;88%;NO
5012;88%;NO
5015;92%;NO
5016;94%;NO
5019;95%;NO
5020;84%;NO
5025;92%;NO
5028;96%;NO
5029;77%;NO
5031;98%;NO
5033;96%;NO
5034;98%;NO
5035;100%;NO
5036;100%;NO
5038;96%;NO
5039;94%;NO
5040;100%;NO
5046;99%;NO
5049;97%;NO
5050;92%;NO
5051;87%;NO
5052;92%;NO
5053;98%;NO
5054;94%;NO
5055;94%;NO
5056;100%;NO
5059;100%;NO
5060;100%;NO
5064;100%;NO
5065;100%;NO
5066;100%;NO
5067;100%;NO
5068;100%;NO
5069;96%;NO
5070;100%;NO
5072;88%;NO
5073;98%;NO
5074;89%;NO
5078;100%;NO
5080;80%;NO
5081;100%;NO
5085;89%;NO
5086;97%;NO
5087;94%;NO
5088;92%;NO
5090;93%;NO
5091;95%;NO
5093;90%;NO
5095;100%;NO
5097;100%;NO
5099;100%;NO
5100;89%;NO
5101;91%;NO
5103;100%;NO
5106;95%;NO
5110;95%;NO
5112;95%;NO
5114;100%;NO
5116;100%;NO
5117;100%;NO
5119;100%;NO
5120;100%;NO
5121;97%;NO
5123;98%;NO
5127;93%;NO
5128;93%;NO
5129;92%;NO
5130;99%;NO
5132;97%;NO
5133;94%;NO
5134;95%;NO
5135;100%;NO
5140;97%;NO
5143;86%;NO
5145;97%;NO
5147;95%;NO
5151;99%;NO
5152;98%;NO
5154;89%;NO
5157;100%;NO
5158;100%;NO
5159;100%;NO
5162;100%;NO
5163;100%;NO
5165;100%;NO
5166;99%;NO
5167;100%;NO
5168;100%;NO
5169;100%;NO
5170;100%;NO
5172;98%;NO
5174;100%;NO
5175;100%;NO
5176;100%;NO
5178;100%;NO
5180;97%;NO
5181;97%;NO
5182;100%;NO
5186;100%;NO
5188;96%;NO
5189;94%;NO
5192;98%;NO
5193;94%;NO
5194;94%;NO
5195;100%;NO
5196;99%;NO
5197;98%;NO
5198;100%;NO
5202;98%;NO
5203;100%;NO
5204;100%;NO
5205;100%;NO
5207;91%;NO
5208;99%;NO
5210;98%;NO
5211;100%;NO
5212;100%;NO
5213;100%;NO
5214;93%;NO
5220;93%;NO
5221;94%;NO
5224;96%;NO
5225;96%;NO
5226;94%;NO
5227;94%;NO
5228;96%;NO
5229;87%;NO
5233;96%;NO
5248;100%;NO
5249;96%;NO
5250;97%;NO
5258;88%;NO
5272;97%;NO
5273;99%;NO
5275;67%;NO
5276;87%;NO
5280;89%;NO
5283;98%;NO
5284;98%;NO
5286;96%;NO
5288;99%;NO
5289;90%;NO
5290;94%;NO
5292;98%;NO
5294;96%;NO
5307;100%;NO
5309;93%;NO
5310;100%;NO
5314;100%;NO
5322;100%;NO
5324;89%;NO
5326;98%;NO
5327;96%;NO
5328;50%;NO
5329;97%;NO
5331;100%;NO
5332;100%;NO
5333;100%;NO
5336;100%;NO
5337;100%;NO
5339;100%;NO
5340;100%;NO
5341;100%;NO
5342;90%;NO
5345;97%;NO
5346;98%;NO
5347;92%;NO
5348;89%;NO
5353;94%;NO
5357;100%;NO
5358;100%;NO
5360;92%;NO
5362;0%;NO
5363;86%;NO
5364;100%;NO
5365;100%;NO
5368;100%;NO
5371;100%;NO
5372;88%;NO
5373;95%;NO
5375;96%;NO
5376;93%;NO
5378;100%;NO
5379;100%;NO
5380;100%;NO
5381;100%;NO
5382;100%;NO
5385;100%;NO
5386;100%;NO
5387;94%;NO
5389;100%;NO
5391;100%;NO
5392;100%;NO
5395;90%;NO
5396;97%;NO
5398;93%;NO
5404;100%;NO
5406;94%;NO
5407;96%;NO
5408;98%;NO
5410;100%;NO
5411;96%;NO
5414;100%;NO
5415;100%;NO
5422;100%;NO
5423;100%;NO
5424;93%;NO
5425;97%;NO
5430;97%;NO
5431;100%;NO
5437;100%;NO
5441;96%;NO
5442;98%;NO
5446;98%;NO
5449;100%;NO
5455;100%;NO
5459;100%;NO
5462;100%;NO
5463;100%;NO
5466;99%;NO
5469;75%;NO
5470;93%;NO
5471;98%;NO
5472;98%;NO
5473;95%;NO
5474;93%;NO
5479;96%;NO
5480;92%;NO
5482;100%;NO
5485;100%;NO
5487;97%;NO
5490;100%;NO
5492;100%;NO
5493;100%;NO
5494;100%;NO
5496;100%;NO
5499;97%;NO
5503;100%;NO
5504;100%;NO
5506;100%;NO
5508;92%;NO
5510;95%;NO
5512;100%;NO
5513;100%;NO
5516;100%;NO
5518;100%;NO
5520;100%;NO
5521;100%;NO
5522;100%;NO
5523;100%;NO
5524;100%;NO
5525;100%;NO
5529;100%;NO
5532;93%;NO
5533;100%;NO
5535;100%;NO
5536;100%;NO
5537;98%;NO
5538;94%;NO
5539;96%;NO
5541;100%;NO
5546;100%;NO
5548;100%;NO
5550;91%;NO
5551;100%;NO
5554;100%;NO
5557;100%;NO
5558;100%;NO
5561;100%;NO
5563;100%;NO
5575;87%;NO
5578;82%;NO
5580;90%;NO
5582;91%;NO
5583;91%;NO
5585;98%;NO
5588;94%;NO
5589;79%;NO
5592;92%;NO
5596;80%;NO
5599;95%;NO
5601;93%;NO
5604;98%;NO
5606;97%;NO
5608;89%;NO
5611;78%;NO
5614;97%;NO
5622;99%;NO
5623;94%;NO
5624;98%;NO
5625;97%;NO
5627;95%;NO
5629;100%;NO
5630;98%;NO
5631;92%;NO
5632;100%;NO
5633;100%;NO
5634;96%;NO
5635;97%;NO
5636;100%;NO
5637;100%;NO
5638;94%;NO
5639;100%;NO
5640;99%;NO
5644;100%;NO
5645;97%;NO
5646;97%;NO
5647;100%;NO
5648;100%;NO
5649;96%;NO
5651;89%;NO
5664;89%;NO
5667;93%;NO
5668;94%;NO
5675;96%;NO
5678;90%;NO
5680;84%;NO
5682;82%;NO
5683;99%;NO
5684;96%;NO
5690;100%;NO
5693;92%;NO
5694;94%;NO
5695;95%;NO
5698;99%;NO
5706;99%;NO
5709;96%;NO
5714;98%;NO
5716;92%;NO
5717;96%;NO
5719;95%;NO
5722;76%;NO
5725;82%;NO
5726;95%;NO
5730;98%;NO
5731;100%;NO
5732;98%;NO
5734;100%;NO
5737;98%;NO
5740;100%;NO
5745;94%;NO
5746;99%;NO
5748;100%;NO
5750;100%;NO
5751;100%;NO
5752;94%;NO
5753;99%;NO
5754;97%;NO
5756;98%;NO
5759;100%;NO
5760;100%;NO
5761;100%;NO
5763;99%;NO
5764;99%;NO
5765;98%;NO
5766;92%;NO
5767;97%;NO
5768;100%;NO
5770;100%;NO
5773;97%;NO
5774;97%;NO
5776;100%;NO
5778;97%;NO
5779;97%;NO
5781;100%;NO
5782;83%;NO
5783;88%;NO
5784;100%;NO
5785;100%;NO
5790;99%;NO
5791;100%;NO
5793;100%;NO
5794;100%;NO
5796;100%;NO
5797;98%;NO
5798;98%;NO
5799;100%;NO
5800;100%;NO
5801;94%;NO
5803;100%;NO
5807;100%;NO
5824;93%;NO
5825;95%;NO
5827;96%;NO
5828;98%;NO
5829;80%;NO
5831;90%;NO
5832;99%;NO
5833;96%;NO
5834;100%;NO
5835;100%;NO
5837;100%;NO
5838;100%;NO
5844;100%;NO
5846;100%;NO
5847;100%;NO
5849;100%;NO
5850;100%;NO
5851;100%;NO
5852;96%;NO
5854;99%;NO
5855;100%;NO
5857;100%;NO
5861;83%;NO
5862;92%;NO
5868;100%;NO
5869;98%;NO
5871;97%;NO
5872;100%;NO
5873;93%;NO
5875;98%;NO
5876;98%;NO
5878;97%;NO
5880;93%;NO
5885;99%;NO
5888;95%;NO
5893;100%;NO
5894;100%;NO
5896;96%;NO
5899;97%;NO
5901;99%;NO
5902;95%;NO
5905;100%;NO
5911;100%;NO
5919;97%;NO
5927;100%;NO
5930;100%;NO
5933;100%;NO
5935;96%;NO
5938;99%;NO
5940;99%;NO
5942;100%;NO
5947;100%;NO
5952;100%;NO
5954;97%;NO
5955;90%;NO
5960;99%;NO
5963;100%;NO
5964;100%;NO
5970;100%;NO
5973;100%;NO
5975;100%;NO
5977;100%;NO
5980;100%;NO
5981;100%;NO
5984;50%;NO
5985;100%;NO
5987;83%;NO
5990;98%;NO
5993;92%;NO
5994;97%;NO
5995;100%;NO
5998;100%;NO
5999;100%;NO
6003;100%;NO
6005;100%;NO
6006;98%;NO
6009;100%;NO
6011;75%;NO
6012;91%;NO
6015;100%;NO
6017;100%;NO
6018;99%;NO
6019;95%;NO
6021;100%;NO
6022;100%;NO
6023;100%;NO
6024;100%;NO
6025;100%;NO
6029;98%;NO
6030;98%;NO
6031;95%;NO
6032;100%;NO
6036;97%;NO
6037;100%;NO
6038;98%;NO
6039;96%;NO
6040;86%;NO
6041;100%;NO
6042;100%;NO
6043;100%;NO
6044;100%;NO
6045;97%;NO
6048;100%;NO
6053;95%;NO
6054;89%;NO
6056;90%;NO
6060;99%;NO
6062;79%;NO
6063;92%;NO
6066;94%;NO
6069;97%;NO
6071;92%;NO
6072;92%;NO
6075;100%;NO
6076;80%;NO
6077;91%;NO
6082;98%;NO
6083;100%;NO
6086;87%;NO
6088;94%;NO
6089;94%;NO
6090;94%;NO
6092;93%;NO
6093;92%;NO
6097;100%;NO
6107;98%;NO
6108;98%;NO
6116;80%;NO
6117;95%;NO
6121;91%;NO
6123;88%;NO
6124;99%;NO
6126;97%;NO
6127;100%;NO
6129;100%;NO
6137;79%;NO
6138;99%;NO
6139;100%;NO
6140;100%;NO
6142;100%;NO
6143;76%;NO
6147;96%;NO
6149;89%;NO
6151;100%;NO
6154;100%;NO
6155;100%;NO
6157;83%;NO
6160;100%;NO
6164;96%;NO
6165;98%;NO
6166;97%;NO
6168;90%;NO
6170;99%;NO
6173;100%;NO
6175;100%;NO
6177;100%;NO
6178;97%;NO
6179;100%;NO
6180;92%;NO
6181;96%;NO
6183;98%;NO
6189;94%;NO
6190;98%;NO
6192;94%;NO
6198;94%;NO
6200;95%;NO
6204;97%;NO
6205;96%;NO
6206;97%;NO
6207;100%;NO
6208;100%;NO
6211;100%;NO
6214;97%;NO
6216;97%;NO
6219;97%;NO
6220;97%;NO
6221;100%;NO
6222;88%;NO
6224;95%;NO
6225;91%;NO
6227;95%;NO
6231;100%;NO
6237;91%;NO
6244;100%;NO
6245;100%;NO
6248;100%;NO
6251;100%;NO
6254;92%;NO
6262;97%;NO
6263;100%;NO
6268;85%;NO
6271;93%;NO
6272;96%;NO
6273;92%;NO
6276;100%;NO
6279;100%;NO
6280;100%;NO
6281;100%;NO
6282;100%;NO
6283;100%;NO
6285;97%;NO
6289;100%;NO
6290;100%;NO
6294;94%;NO
6300;87%;NO
6303;95%;NO
6304;95%;NO
6305;98%;NO
6315;100%;NO
6317;100%;NO
6319;100%;NO
6322;100%;NO
6323;100%;NO
6325;100%;NO
6327;100%;NO
6329;75%;NO
6332;75%;NO
6337;94%;NO
6343;100%;NO
6344;100%;NO
6345;67%;NO
6347;100%;NO
6349;90%;NO
6350;95%;NO
6351;99%;NO
6352;90%;NO
6353;100%;NO
6354;100%;NO
6358;90%;NO
6361;100%;NO
6363;100%;NO
6370;100%;NO
6371;89%;NO
6373;100%;NO
6374;100%;NO
6377;100%;NO
6379;90%;NO
6380;93%;NO
6381;100%;NO
6382;100%;NO
6385;99%;NO
6389;98%;NO
6390;100%;NO
6391;82%;NO
6393;99%;NO
6399;99%;NO
6400;100%;NO
6407;100%;NO
6410;100%;NO
6411;100%;NO
6413;100%;NO
6415;100%;NO
6420;91%;NO
6421;95%;NO
6423;100%;NO
6424;97%;NO
6425;100%;NO
6427;100%;NO
6429;100%;NO
6432;100%;NO
6433;100%;NO
6434;96%;NO
6435;95%;NO
6441;100%;NO
6442;100%;NO
6443;94%;NO
6444;100%;NO
6446;100%;NO
6449;100%;NO
6454;100%;NO
6455;97%;NO
6456;97%;NO
6457;97%;NO
6458;98%;NO
6459;97%;NO
6460;92%;NO
6461;99%;NO
6464;100%;NO
6471;100%;NO
6474;94%;NO
6475;100%;NO
6477;100%;NO
6478;100%;NO
6479;92%;NO
6480;97%;NO
6481;100%;NO
6482;100%;NO
6485;97%;NO
6486;80%;NO
6487;100%;NO
6488;100%;NO
6489;90%;NO
6490;94%;NO
6492;94%;NO
6495;100%;NO
6499;95%;NO
6501;90%;NO
6502;94%;NO
6504;99%;NO
6506;100%;NO
6508;100%;NO
6510;100%;NO
6512;100%;NO
6515;100%;NO
6518;100%;NO
6521;100%;NO
6522;100%;NO
6523;100%;NO
6524;100%;NO
6525;100%;NO
6526;100%;NO
6527;100%;NO
6528;98%;NO
6529;100%;NO
6539;100%;NO
6542;92%;NO
6545;100%;NO
6546;94%;NO
6547;100%;NO
6549;100%;NO
6550;100%;NO
6552;93%;NO
6553;100%;NO
6555;100%;NO
6558;100%;NO
6560;100%;NO
6562;100%;NO
6564;98%;NO
6566;100%;NO
6567;100%;NO
6569;92%;NO
6572;91%;NO
6575;100%;NO
6576;100%;NO
6577;97%;NO
6578;100%;NO
6580;100%;NO
6583;97%;NO
6587;99%;NO
6588;94%;NO
6589;96%;NO
6593;94%;NO
6594;82%;NO
6595;100%;NO
6599;100%;NO
6600;100%;NO
6602;100%;NO
6604;88%;NO
6605;95%;NO
6608;100%;NO
6611;100%;NO
6612;91%;NO
6616;100%;NO
6621;100%;NO
6622;100%;NO
6623;94%;NO
6624;90%;NO
6625;100%;NO
6626;100%;NO
6627;100%;NO
6628;94%;NO
6630;100%;NO
6633;95%;NO
6635;100%;NO
6639;100%;NO
6647;94%;NO
6652;96%;NO
6653;100%;NO
6654;100%;NO
6656;99%;NO
6658;100%;NO
6660;100%;NO
6662;100%;NO
6666;96%;NO
6667;100%;NO
6668;100%;NO
6669;93%;NO
6670;97%;NO
6671;96%;NO
6673;100%;NO
6674;100%;NO
6678;100%;NO
6679;98%;NO
6681;100%;NO
6684;100%;NO
6686;99%;NO
6688;94%;NO
6689;100%;NO
6690;99%;NO
6691;98%;NO
6692;95%;NO
6695;100%;NO
6699;94%;NO
6700;97%;NO
6701;100%;NO
6702;100%;NO
6705;100%;NO
6709;93%;NO
6710;100%;NO
6711;98%;NO
6712;100%;NO
6714;100%;NO
6715;75%;NO
6716;100%;NO
6718;96%;NO
6719;100%;NO
6721;100%;NO
6722;100%;NO
6725;100%;NO
6726;100%;NO
6728;100%;NO
6731;96%;NO
6732;100%;NO
6734;100%;NO
6735;91%;NO
6736;100%;NO
6737;100%;NO
6738;100%;NO
6739;100%;NO
6741;100%;NO
6743;100%;NO
6745;96%;NO
6747;100%;NO
6748;100%;NO
6750;93%;NO
6759;91%;NO
6762;90%;NO
6764;87%;NO
6765;97%;NO
6767;95%;NO
6773;93%;NO
6774;97%;NO
6777;97%;NO
6780;97%;NO
6781;88%;NO
6785;96%;NO
6791;97%;NO
6793;97%;NO
6797;100%;NO
6798;89%;NO
6803;100%;NO
6804;78%;NO
6805;100%;NO
6807;100%;NO
6814;100%;NO
6815;100%;NO
6816;80%;NO
6817;100%;NO
6818;98%;NO
6833;90%;NO
6834;94%;NO
6841;97%;NO
6848;100%;NO
6852;93%;NO
6855;100%;NO
6857;100%;NO
6865;100%;NO
6866;100%;NO
6867;100%;NO
6868;100%;NO
6876;93%;NO
6877;100%;NO
6878;100%;NO
6882;100%;NO
6884;100%;NO
6886;97%;NO
6891;100%;NO
6893;100%;NO
6898;92%;NO
6901;96%;NO
6902;95%;NO
6903;100%;NO
6905;93%;NO
6916;93%;NO
6917;92%;NO
6918;93%;NO
6919;100%;NO
6920;96%;NO
6930;88%;NO
6932;94%;NO
6933;93%;NO
6934;84%;NO
6935;93%;NO
6944;97%;NO
6945;100%;NO
6946;100%;NO
6950;100%;NO
6951;100%;NO
6953;95%;NO
6955;87%;NO
6956;100%;NO
6964;94%;NO
6965;100%;NO
6969;100%;NO
6970;91%;NO
6972;100%;NO
6975;100%;NO
6978;100%;NO
6982;100%;NO
6984;94%;NO
6986;93%;NO
6988;100%;NO
6989;100%;NO
6990;95%;NO
6991;96%;NO
6992;80%;NO
6996;100%;NO
7000;100%;NO
7003;97%;NO
7009;97%;NO
7011;90%;NO
7016;90%;NO
7018;67%;NO
7020;89%;NO
7023;89%;NO
7024;96%;NO
7025;97%;NO
7026;92%;NO
7030;100%;NO
7032;93%;NO
7034;100%;NO
7037;100%;NO
7038;100%;NO
7039;100%;NO
7040;100%;NO
7050;83%;NO
7051;89%;NO
7057;100%;NO
7058;94%;NO
7059;95%;NO
7061;92%;NO
7062;97%;NO
7063;95%;NO
7064;97%;NO
7065;100%;NO
7069;100%;NO
7071;100%;NO
7072;100%;NO
7073;100%;NO
7074;100%;NO
7076;100%;NO
7077;80%;NO
7078;95%;NO
7079;100%;NO
7081;100%;NO
7083;100%;NO
7086;100%;NO
7088;100%;NO
7089;100%;NO
7090;100%;NO
7092;90%;NO
7093;100%;NO
7095;100%;NO
7097;100%;NO
7100;94%;NO
7101;100%;NO
7108;95%;NO
7109;100%;NO
7111;97%;NO
7112;93%;NO
7113;88%;NO
7114;94%;NO
7115;97%;NO
7116;89%;NO
7118;93%;NO
7122;96%;NO
7123;100%;NO
7125;92%;NO
7130;95%;NO
7131;97%;NO
7133;88%;NO
7136;92%;NO
7137;97%;NO
7138;94%;NO
7140;97%;NO
7141;100%;NO
7142;100%;NO
7147;96%;NO
7157;95%;NO
7158;100%;NO
7160;100%;NO
7166;92%;NO
7168;95%;NO
7170;96%;NO
7172;100%;NO
7173;83%;NO
7174;100%;NO
7178;67%;NO
7184;100%;NO
7185;100%;NO
7186;100%;NO
7188;100%;NO
7190;100%;NO
7192;100%;NO
7193;100%;NO
7202;89%;NO
7203;92%;NO
7204;97%;NO
7205;96%;NO
7206;88%;NO
7212;87%;NO
7214;100%;NO
7217;100%;NO
7220;100%;NO
7225;67%;NO
7231;82%;NO
7234;98%;NO
7237;94%;NO
7238;96%;NO
7239;93%;NO
7242;97%;NO
7243;96%;NO
7244;94%;NO
7249;100%;NO
7250;96%;NO
7252;92%;NO
7253;86%;NO
7256;100%;NO
7257;100%;NO
7260;97%;NO
7261;100%;NO
7262;86%;NO
7266;94%;NO
7268;100%;NO
7273;95%;NO
7279;96%;NO
7282;100%;NO
7284;97%;NO
7285;100%;NO
7288;100%;NO
7289;100%;NO
7290;100%;NO
7292;100%;NO
7295;100%;NO
7296;100%;NO
7297;100%;NO
7298;100%;NO
7301;100%;NO
7302;100%;NO
7303;93%;NO
7304;94%;NO
7305;89%;NO
7306;100%;NO
7307;100%;NO
7308;100%;NO
7309;100%;NO
7312;98%;NO
7314;100%;NO
7315;88%;NO
7316;100%;NO
7318;100%;NO
7321;100%;NO
7332;95%;NO
7333;92%;NO
7334;90%;NO
7335;93%;NO
7336;98%;NO
7337;96%;NO
7338;90%;NO
7339;98%;NO
7340;96%;NO
7341;97%;NO
7343;88%;NO
7346;95%;NO
7347;96%;NO
7348;99%;NO
7349;85%;NO
7352;97%;NO
7354;93%;NO
7355;95%;NO
7356;100%;NO
7357;93%;NO
7359;100%;NO
7366;100%;NO
7368;98%;NO
7369;89%;NO
7371;94%;NO
7372;99%;NO
7377;93%;NO
7380;100%;NO
7381;100%;NO
7382;85%;NO
7384;100%;NO
7385;98%;NO
7390;100%;NO
7391;93%;NO
7396;99%;NO
7403;84%;NO
7404;99%;NO
7405;89%;NO
7412;95%;NO
7418;97%;NO
7419;97%;NO
7420;100%;NO
7422;100%;NO
7423;100%;NO
7424;92%;NO
7427;97%;NO
7431;95%;NO
7432;93%;NO
7433;93%;NO
7434;91%;NO
7436;100%;NO
7437;100%;NO
7438;100%;NO
7440;100%;NO
7443;98%;NO
7446;100%;NO
7448;89%;NO
7449;98%;NO
7450;95%;NO
7452;97%;NO
7453;100%;NO
7457;100%;NO
7458;89%;NO
7459;98%;NO
7460;89%;NO
7463;100%;NO
7464;86%;NO
7465;100%;NO
7469;60%;NO
7471;67%;NO
7476;94%;NO
7477;80%;NO
7478;93%;NO
7479;88%;NO
7489;97%;NO
7493;50%;NO
7496;97%;NO
7501;90%;NO
7502;100%;NO
7507;97%;NO
7508;99%;NO
7510;94%;NO
7511;95%;NO
7513;100%;NO
7518;100%;NO
7528;100%;NO
7531;100%;NO
7534;92%;NO
7535;94%;NO
7538;100%;NO
7541;96%;NO
7543;98%;NO
7545;100%;NO
7552;100%;NO
7557;100%;NO
7559;100%;NO
7563;100%;NO
7565;100%;NO
7569;100%;NO
7573;100%;NO
7574;100%;NO
7575;100%;NO
7580;100%;NO
7583;95%;NO
7586;78%;NO
7587;92%;NO
7588;100%;NO
7590;100%;NO
7592;100%;NO
7593;96%;NO
7596;100%;NO
7600;100%;NO
7602;100%;NO
7605;100%;NO
7606;100%;NO
7607;100%;NO
7609;100%;NO
7610;100%;NO
7612;100%;NO
7613;96%;NO
7616;100%;NO
7617;100%;NO
7619;100%;NO
7620;100%;NO
7622;100%;NO
7630;82%;NO
7631;83%;NO
7632;84%;NO
7633;85%;NO
7634;91%;NO
7636;76%;NO
7637;83%;NO
7638;86%;NO
7641;87%;NO
7642;94%;NO
7643;96%;NO
7644;86%;NO
7646;90%;NO
7647;90%;NO
7648;88%;NO
7654;91%;NO
7655;94%;NO
7656;81%;NO
7658;94%;NO
7659;97%;NO
7661;100%;NO
7662;70%;NO
7663;90%;NO
7664;98%;NO
7665;94%;NO
7668;85%;NO
7669;94%;NO
7670;100%;NO
7671;89%;NO
7672;93%;NO
7673;100%;NO
7675;88%;NO
7676;83%;NO
7677;75%;NO
7679;87%;NO
7680;100%;NO
7681;100%;NO
7682;77%;NO
7684;91%;NO
7685;90%;NO
7686;100%;NO
7688;100%;NO
7689;83%;NO
7690;100%;NO
7691;100%;NO
7693;100%;NO
7694;100%;NO
7695;100%;NO
7696;87%;NO
7698;87%;NO
7704;90%;NO
7710;88%;NO
7712;96%;NO
7714;86%;NO
7723;92%;NO
7725;92%;NO
7726;100%;NO
7729;100%;NO
7730;94%;NO
7732;100%;NO
7738;93%;NO
7739;100%;NO
7740;89%;NO
7741;91%;NO
7745;71%;NO
7749;100%;NO
7752;92%;NO
7754;100%;NO
7755;86%;NO
7756;88%;NO
7757;100%;NO
7758;76%;NO
7759;100%;NO
7761;89%;NO
7762;100%;NO
7763;98%;NO
7765;100%;NO
7767;100%;NO
7768;100%;NO
7769;100%;NO
7770;100%;NO
7774;92%;NO
7777;94%;NO
7779;100%;NO
7782;100%;NO
7783;92%;NO
7784;100%;NO
7785;81%;NO
7786;100%;NO
7787;100%;NO
7788;87%;NO
7789;94%;NO
7790;100%;NO
7791;98%;NO
7793;100%;NO
7794;100%;NO
7798;91%;NO
7799;100%;NO
7801;91%;NO
7802;94%;NO
7804;100%;NO
7805;100%;NO
7806;100%;NO
7808;94%;NO
7809;92%;NO
7810;95%;NO
7811;100%;NO
7812;100%;NO
7815;100%;NO
7816;100%;NO
7818;92%;NO
7819;89%;NO
7820;100%;NO
7821;100%;NO
7822;92%;NO
7823;89%;NO
7824;100%;NO
7825;97%;NO
7832;90%;NO
7833;85%;NO
7834;91%;NO
7836;99%;NO
7837;100%;NO
7839;100%;NO
7847;100%;NO
7850;96%;NO
7852;100%;NO
7854;95%;NO
7855;100%;NO
7856;91%;NO
7858;100%;NO
7860;91%;NO
7861;100%;NO
7864;100%;NO
7866;92%;NO
7868;100%;NO
7871;100%;NO
7874;95%;NO
7878;91%;NO
7879;100%;NO
7881;93%;NO
7887;100%;NO
7891;100%;NO
7894;80%;NO
7896;97%;NO
7897;94%;NO
7898;96%;NO
7901;100%;NO
7903;100%;NO
7904;0%;NO
7905;97%;NO
7908;100%;NO
7910;100%;NO
7911;94%;NO
7915;94%;NO
7919;100%;NO
7922;95%;NO
7924;95%;NO
7927;100%;NO
7929;97%;NO
7930;100%;NO
7931;67%;NO
7933;100%;NO
7936;100%;NO
7938;83%;NO
7939;100%;NO
7940;100%;NO
7944;100%;NO
7945;100%;NO
7946;100%;NO
7947;100%;NO
7948;100%;NO
7950;100%;NO
7953;100%;NO
7954;92%;NO
7958;91%;NO
7959;92%;NO
7961;91%;NO
7962;98%;NO
7966;50%;NO
7967;93%;NO
7968;100%;NO
7970;91%;NO
7975;92%;NO
7976;90%;NO
7977;94%;NO
7978;83%;NO
7982;100%;NO
7987;87%;NO
7990;100%;NO
7992;83%;NO
7993;100%;NO
7994;87%;NO
7998;100%;NO
8003;87%;NO
8004;86%;NO
8006;84%;NO
8010;88%;NO
8012;81%;NO
8013;94%;NO
8014;100%;NO
8019;92%;NO
8020;100%;NO
8021;100%;NO
8022;75%;NO
8027;98%;NO
8030;100%;NO
8031;78%;NO
8032;80%;NO
8033;100%;NO
8036;90%;NO
8037;100%;NO
8038;83%;NO
8040;100%;NO
8046;98%;NO
8047;87%;NO
8048;96%;NO
8049;92%;NO
8050;98%;NO
8051;92%;NO
8053;97%;NO
8054;93%;NO
8061;100%;NO
8071;100%;NO
8075;100%;NO
8080;100%;NO
8082;100%;NO
8085;94%;NO
8092;92%;NO
8094;100%;NO
8095;100%;NO
8096;100%;NO
8099;91%;NO
8100;100%;NO
8102;100%;NO
8103;100%;NO
8104;94%;NO
8112;89%;NO
8113;89%;NO
8114;94%;NO
8115;100%;NO
8116;100%;NO
8117;95%;NO
8120;83%;NO
8121;79%;NO
8122;100%;NO
8124;86%;NO
8126;87%;NO
8127;100%;NO
8130;100%;NO
8131;100%;NO
8132;83%;NO
8133;88%;NO
8134;100%;NO
8135;90%;NO
8136;100%;NO
8139;83%;NO
8141;100%;NO
8142;96%;NO
8143;100%;NO
8144;100%;NO
8147;91%;NO
8149;100%;NO
8150;67%;NO
8155;50%;NO
8157;100%;NO
8158;92%;NO
8159;92%;NO
8160;94%;NO
8161;94%;NO
8163;100%;NO
8164;100%;NO
8165;100%;NO
8166;75%;NO
8167;100%;NO
8169;90%;NO
8170;89%;NO
8173;100%;NO
8176;100%;NO
8177;100%;NO
8179;100%;NO
8180;94%;NO
8181;86%;NO
8182;94%;NO
8183;93%;NO
8184;92%;NO
8186;91%;NO
8188;97%;NO
8189;83%;NO
8191;84%;NO
8195;89%;NO
8197;91%;NO
8198;100%;NO
8200;100%;NO
8201;93%;NO
8202;97%;NO
8203;92%;NO
8205;84%;NO
8207;90%;NO
8208;92%;NO
8210;94%;NO
8211;87%;NO
8213;94%;NO
8214;86%;NO
8216;89%;NO
8217;100%;NO
8219;100%;NO
8220;95%;NO
8224;80%;NO
8225;70%;NO
8226;100%;NO
8227;100%;NO
8228;100%;NO
8230;83%;NO
8231;95%;NO
8234;100%;NO
8236;86%;NO
8237;100%;NO
8238;100%;NO
8239;88%;NO
8241;93%;NO
8243;100%;NO
8244;100%;NO
8246;100%;NO
8247;100%;NO
